ts,nav,cash_nav,unrealized
1777223700,9942.7189863,9942.7189863,0.0
1777224600,9942.7189863,9942.7189863,0.0
1777225500,9942.7189863,9942.7189863,0.0
1777226400,9942.59968709,9942.64441591,-0.04472882
1777227300,9942.8078073,9942.56984608,0.23796123
1777228200,9942.27274205,9942.27274205,0.0
1777229100,9942.27274205,9942.27274205,0.0
1777230000,9942.03415524,9942.12360852,-0.08945328
1777230900,9941.69019878,9941.70234712,-0.01214834
1777231800,9941.18200794,9941.18200794,0.0
1777232700,9941.18200794,9941.18200794,0.0
1777233600,9941.06272717,9941.10744907,-0.0447219
1777234500,9940.94516332,9941.03289077,-0.08772745
1777235400,9941.12013336,9941.03289077,0.08724259
1777236300,9940.98698973,9940.82568558,0.16130415
1777237200,9940.60066308,9940.60066308,0.0
1777238100,9940.60066308,9940.60066308,0.0
1777239000,9940.60066308,9940.60066308,0.0
1777239900,9940.24284439,9940.37700125,-0.13415686
1777240800,9940.92169039,9940.03278188,0.88890851
1777241700,9940.79595366,9940.12631465,0.66963901
1777242600,9940.07084513,9940.07084513,0.0
1777243500,9939.95157769,9939.99629459,-0.0447169
1777244400,9940.05487384,9939.99629459,0.05857925
1777245300,9939.88396174,9939.88396174,0.0
1777246200,9939.76469654,9939.80941261,-0.04471606
1777247100,9939.83336108,9939.80941261,0.02394847
1777248000,9939.59401886,9939.59401886,0.0
1777248900,9939.59401886,9939.59401886,0.0
1777249800,9939.2362364,9939.37037967,-0.13414327
1777250700,9941.62165951,9939.37037967,2.25127985
1777251600,9940.86350521,9940.11915725,0.74434796
1777252500,9940.91496578,9940.11915725,0.79580853
1777253400,9941.24088271,9940.11915725,1.12172546
1777254300,9941.25803623,9940.11915725,1.13887899
1777255200,9940.91505689,9940.91505689,0.0
1777256100,9940.79577933,9940.84050003,-0.0447207
1777257000,9940.89799808,9940.84050003,0.05749804
1777257900,9941.2898366,9940.84050003,0.44933657
1777258800,9941.37499743,9940.76594373,0.6090537
1777259700,9940.48851619,9940.5332354,-0.04471921
1777260600,9940.42023972,9940.45868141,-0.03844169
1777261500,9940.01088802,9940.01088802,0.0
1777262400,9940.01088802,9940.01088802,0.0
1777263300,9939.8916213,9939.93633793,-0.04471663
1777264200,9939.45552532,9939.45552532,0.0
1777265100,9939.45552532,9939.45552532,0.0
1777266000,9939.45552532,9939.45552532,0.0
1777266900,9939.33626527,9939.3809794,-0.04471414
1777267800,9938.43323856,9938.47795236,-0.0447138
1777268700,9936.6121661,9936.6121661,0.0
1777269600,9936.6121661,9936.6121661,0.0
1777270500,9936.6121661,9936.6121661,0.0
1777271400,9936.6121661,9936.6121661,0.0
1777272300,9936.49294017,9936.53764151,-0.04470134
1777273200,9936.33902135,9936.33902135,0.0
1777274100,9936.33902135,9936.33902135,0.0
1777275000,9936.33902135,9936.33902135,0.0
1777275900,9936.33902135,9936.33902135,0.0
1777276800,9936.33902135,9936.33902135,0.0
1777277700,9936.33902135,9936.33902135,0.0
1777278600,9936.21979869,9936.2644988,-0.04470012
1777279500,9936.50022844,9936.2644988,0.23572964
1777280400,9936.72263824,9936.2644988,0.45813944
1777281300,9936.51158872,9936.51158872,0.0
1777282200,9936.392364,9936.43706489,-0.04470089
1777283100,9936.18021855,9936.18021855,0.0
1777284000,9936.18021855,9936.18021855,0.0
1777284900,9936.18021855,9936.18021855,0.0
1777285800,9936.18021855,9936.18021855,0.0
1777286700,9936.18021855,9936.18021855,0.0
1777287600,9936.18021855,9936.18021855,0.0
1777288500,9936.18021855,9936.18021855,0.0
1777289400,9936.18021855,9936.18021855,0.0
1777290300,9936.18021855,9936.18021855,0.0
1777291200,9936.18021855,9936.18021855,0.0
1777292100,9936.18021855,9936.18021855,0.0
1777293000,9936.0609978,9936.1056972,-0.0446994
1777293900,9935.81445062,9935.81445062,0.0
1777294800,9935.81445062,9935.81445062,0.0
1777295700,9935.81445062,9935.81445062,0.0
