ts,nav,cash_nav,unrealized
1767274200,10102.37041647,9999.77500169,102.59541478
1767275100,10105.55918134,9999.77500169,105.78417965
1767276000,10108.93717154,9999.77500169,109.16216985
1767276900,10112.47465425,9999.77500169,112.69965256
1767277800,10116.16020225,9999.77500169,116.38520056
1767278700,10119.97991257,9999.77500169,120.20491089
1767279600,10123.89912683,9999.77500169,124.12412515
1767280500,10127.90218478,9999.77500169,128.12718309
1767281400,10131.96187207,9999.77500169,132.18687038
1767282300,10136.05012322,9999.77500169,136.27512153
1767283200,10140.12922805,9999.77500169,140.35422636
1767284100,10144.18999301,9999.77500169,144.41499132
1767285000,10148.19419659,9999.77500169,148.41919491
1767285900,10152.11454678,9999.77500169,152.33954509
1767286800,10155.93260014,9999.77500169,156.15759845
1767287700,10159.61248469,9999.77500169,159.837483
1767288600,10163.12926764,9999.77500169,163.35426595
1767289500,10166.47972634,9999.77500169,166.70472465
1767290400,10169.63253898,9999.77500169,169.85753729
1767291300,10172.57754695,9999.77500169,172.80254526
1767292200,10175.30871462,9999.77500169,175.53371293
1767293100,10177.81143612,9999.77500169,178.03643443
1767294000,10180.08596062,9999.77500169,180.31095893
1767294900,10182.14293285,9999.77500169,182.36793116
1767295800,10183.97591846,9999.77500169,184.20091677
1767296700,10185.60062366,9999.77500169,185.82562198
1767297600,10187.03575146,9999.77500169,187.26074977
1767298500,10188.28190312,9999.77500169,188.50690143
1767299400,10189.37189885,9999.77500169,189.59689716
1767300300,10190.32971674,9999.77500169,190.55471505
1767301200,10191.16306489,9999.77500169,191.3880632
1767302100,10191.91824317,9999.77500169,192.14324149
1767303000,10192.60504707,9999.77500169,192.83004539
1767303900,10193.27236548,9999.77500169,193.49736379
1767304800,10193.93011684,9999.77500169,194.15511515
1767305700,10194.62785995,9999.77500169,194.85285826
1767306600,10195.37628674,9999.77500169,195.60128505
1767307500,10196.22372945,9999.77500169,196.44872776
1767308400,10197.18831112,9999.77500169,197.41330943
1767309300,10198.28842986,9999.77500169,198.51342817
1767310200,10199.55891236,9999.77500169,199.78391067
1767311100,10201.02484027,9999.77500169,201.24983858
1767312000,10202.69849194,9999.77500169,202.92349026
