pair,entry_time,exit_time,gross_ret,net_ret,capital_used,pnl_log_return,z_entry,z_exit,spread_move,stopped_out,z_revert_exit
ETHUSDT/AVAXUSDT,2022-08-04,2022-08-07,-0.2200824063367186,-0.2220824063367186,10000.0,-0.2220824063367186,1.2820302265058725,2.8472443203753803,567.1582730378415,True,False
ETHUSDT/AVAXUSDT,2022-09-14,2022-09-18,-0.33038494450134404,-0.33238494450134404,10000.0,-0.33238494450134404,-1.3913732511136645,-1.8402787206259281,752.8944196372679,True,False
ETHUSDT/AVAXUSDT,2022-11-30,2022-12-07,-0.03909609282114013,-0.04109609282114013,10000.0,-0.04109609282114013,-1.8195826836064626,-0.8696276046514867,226.5235954353018,False,False
ETHUSDT/AVAXUSDT,2022-12-01,2022-12-08,0.04170173352373774,0.03970173352373774,10000.0,0.03970173352373774,-2.929407626525059,-0.73272374050318,79.24111742974856,False,False
ETHUSDT/AVAXUSDT,2023-01-09,2023-01-12,0.2823303933890937,0.2803303933890937,10000.0,0.2803303933890937,-1.6240038752985049,-0.16847477197704833,185.55488590204538,False,True
ETHUSDT/AVAXUSDT,2023-01-28,2023-02-04,-0.08373499832995679,-0.08573499832995679,10000.0,-0.08573499832995679,2.0945708386276114,1.670977826447014,613.0751938016307,False,False
ETHUSDT/AVAXUSDT,2023-05-26,2023-06-02,-0.05420351150892466,-0.056203511508924664,10000.0,-0.056203511508924664,2.0078569472140297,1.7509054658318286,650.2155965994605,False,False
ETHUSDT/AVAXUSDT,2023-07-09,2023-07-16,-0.08152426131726731,-0.08352426131726731,10000.0,-0.08352426131726731,1.2198798121765906,1.260305105652865,340.20677274512263,False,False
ETHUSDT/AVAXUSDT,2023-12-04,2023-12-11,0.395650406471483,0.39365040647148297,10000.0,0.39365040647148297,-1.7200888552053917,-0.27906772360711873,406.17188748980107,False,True
ETHUSDT/AVAXUSDT,2024-01-10,2024-01-17,0.08946522818727465,0.08746522818727465,10000.0,0.08746522818727465,2.0750714687701213,1.177381655162229,144.4678901500606,False,False
ETHUSDT/AVAXUSDT,2024-05-11,2024-05-18,0.17297065937100042,0.17097065937100042,10000.0,0.17097065937100042,-1.7372610346177813,-1.4924709597611996,237.77380467273474,False,False
ETHUSDT/AVAXUSDT,2024-07-04,2024-07-11,0.04357412442804698,0.04157412442804698,10000.0,0.04157412442804698,-2.1743354990364976,-1.196459902114811,603.6360247338093,False,False
ETHUSDT/AVAXUSDT,2024-08-22,2024-08-29,0.13811384339771227,0.13611384339771226,10000.0,0.13611384339771226,2.218525072755323,1.384871539678383,604.3956966582862,False,False
ETHUSDT/AVAXUSDT,2024-12-15,2024-12-21,0.5131384360214322,0.5111384360214322,10000.0,0.5111384360214322,1.4523914391309507,0.05580296848672462,362.64537320921954,False,True
ETHUSDT/AVAXUSDT,2025-01-24,2025-01-31,0.02947781609811362,0.027477816098113617,10000.0,0.027477816098113617,1.3714373988105417,1.724484308442451,514.1319130112142,False,False
ETHUSDT/AVAXUSDT,2025-02-27,2025-03-06,-0.11861663789937649,-0.12061663789937649,10000.0,-0.12061663789937649,-1.8256284125855216,-1.638486152666607,963.4384225444644,False,False
ETHUSDT/MATICUSDT,2022-03-22,2022-03-29,0.24598718333012692,0.24398718333012692,10000.0,0.24398718333012692,-1.5634728215106768,-1.1947602853861432,1056.5349085840312,False,False
ETHUSDT/MATICUSDT,2022-06-26,2022-07-03,0.31282647193794355,0.31082647193794355,10000.0,0.31082647193794355,1.4069091198362713,1.7129335941328858,790.0263691465648,False,False
ETHUSDT/MATICUSDT,2022-06-27,2022-07-04,0.11654947735682031,0.1145494773568203,10000.0,0.1145494773568203,2.264340887322975,1.5593479693755583,636.0158212430458,False,False
ETHUSDT/MATICUSDT,2023-01-07,2023-01-14,0.41828392042771423,0.4162839204277142,10000.0,0.4162839204277142,-1.5344615379828934,-1.5853981540619908,449.0061855277354,False,False
ETHUSDT/MATICUSDT,2023-01-08,2023-01-15,0.3482025526997501,0.3462025526997501,10000.0,0.3462025526997501,-1.8029660069354836,-1.436110015537817,410.9936742149861,False,False
ETHUSDT/MATICUSDT,2023-01-27,2023-02-03,-0.11123280631142674,-0.11323280631142674,10000.0,-0.11323280631142674,1.5996460038839528,1.7527498730815236,1082.3536718499904,False,False
ETHUSDT/MATICUSDT,2023-03-10,2023-03-17,0.38932983102813923,0.3873298310281392,10000.0,0.3873298310281392,-1.6741070374282943,-2.3863699869528947,318.85099037177724,False,False
ETHUSDT/MATICUSDT,2023-06-06,2023-06-13,0.35183421941596904,0.34983421941596904,10000.0,0.34983421941596904,1.6392542420185672,0.7961947320435703,316.21903009332914,False,False
ETHUSDT/MATICUSDT,2023-06-07,2023-06-14,0.33431745769082055,0.33231745769082055,10000.0,0.33231745769082055,2.2609774422388473,0.2970648518563792,210.03945930418467,False,True
ETHUSDT/MATICUSDT,2023-12-07,2023-12-14,0.030120453995642893,0.02812045399564289,10000.0,0.02812045399564289,-1.8139545862560178,-0.9566746812024576,839.8936045762721,False,False
ETHUSDT/MATICUSDT,2024-01-22,2024-01-29,0.08239404570825126,0.08039404570825126,10000.0,0.08039404570825126,-1.4900426841795837,-1.5650774986471023,1052.834354743324,False,False
ETHUSDT/MATICUSDT,2024-07-02,2024-07-04,-0.26188434602803756,-0.26388434602803756,10000.0,-0.26388434602803756,-1.344882338891032,-3.4746617819568284,876.5448232746292,True,False
