ts,nav,cash_nav,unrealized
1767437100,101841.5228671,101725.20155669,116.32131041
1767438000,101865.01407253,101725.20155669,139.81251584
1767438900,101773.26075539,101773.26075539,0.0
1767439800,101766.39230769,101768.68102735,-2.28871966
1767440700,101691.7359743,101691.7359743,0.0
1767441600,101684.87302853,101687.15991482,-2.2868863
1767442500,101709.68091666,101687.15991482,22.52100184
1767443400,101735.40410245,101687.15991482,48.24418763
1767444300,101762.1246181,101687.15991482,74.96470328
1767445200,101789.99983604,101687.15991482,102.83992121
1767446100,101819.10751739,101687.15991482,131.94760257
1767447000,101849.59506456,101687.15991482,162.43514973
1767447900,101765.57053585,101765.57053585,0.0
1767448800,101758.70260715,101760.99115387,-2.28854672
1767449700,101693.84696592,101693.84696592,0.0
1767450600,101686.98387768,101689.27081145,-2.28693377
1767451500,101723.12480445,101689.27081145,33.853993
1767452400,101760.91826352,101689.27081145,71.64745207
1767453300,101800.41961086,101689.27081145,111.1487994
1767454200,101841.63529288,101689.27081145,152.36448143
1767455100,101884.56896424,101689.27081145,195.29815279
1767456000,101929.17327622,101689.27081145,239.90246477
1767456900,101857.58383148,101857.58383148,0.0
1767457800,101850.709693,101853.00030896,-2.29061595
1767458700,101798.47085791,101798.47085791,0.0
1767459600,101791.60070884,101793.88999543,-2.28928659
1767460500,101839.53779146,101793.88999543,45.64779603
1767461400,101888.69681085,101793.88999543,94.80681541
1767462300,101939.01786849,101793.88999543,145.12787305
1767463200,101990.35670889,101793.88999543,196.46671346
1767464100,102042.60059945,101793.88999543,248.71060402
1767465000,102095.66586595,101793.88999543,301.77587052
1767465900,102029.83815204,102029.83815204,0.0
1767466800,102022.95238851,102025.24687819,-2.29448968
1767467700,101974.58903782,101974.58903782,0.0
1767468600,101967.70700293,101970.00025015,-2.29324721
1767469500,102017.07587908,101970.00025015,47.07562893
1767470400,102066.39978226,101970.00025015,96.39953211
1767471300,102115.51886234,101970.00025015,145.51861219
1767472200,102164.27235233,101970.00025015,194.27210218
1767473100,102212.57391726,101970.00025015,242.57366711
1767474000,102260.27160811,101970.00025015,290.27135797
1767474900,102187.83056565,102187.83056565,0.0
1767475800,102180.93413957,102183.23218225,-2.29804268
1767476700,102124.01677655,102124.01677655,0.0
1767477600,102117.12465712,102119.42126473,-2.29660761
1767478500,102156.26617965,102119.42126473,36.84491492
1767479400,102194.35298452,102119.42126473,74.93171979
1767480300,102231.36000568,102119.42126473,111.93874095
1767481200,102267.23311634,102119.42126473,147.81185161
1767482100,102301.99787745,102119.42126473,182.57661272
1767483000,102335.6240402,102119.42126473,216.20277547
1767483900,102250.39746206,102250.39746206,0.0
1767484800,102243.49681348,102245.79626319,-2.29944971
1767485700,102173.4375739,102173.4375739,0.0
1767486600,102166.54211917,102168.83983818,-2.297719
1767487500,102193.17882338,102168.83983818,24.3389852
1767488400,102219.07467283,102168.83983818,50.23483465
1767489300,102244.32470688,102168.83983818,75.48486871
1767490200,102269.06555658,102168.83983818,100.2257184
1767491100,102293.37405488,102168.83983818,124.5342167
1767492000,102317.42976407,102168.83983818,148.58992589
1767492900,102225.14221153,102225.14221153,0.0
1767493800,102218.24326737,102220.54214913,-2.29888176
1767494700,102142.50107822,102142.50107822,0.0
1767495600,102135.60771132,102137.90473461,-2.29702329
1767496500,102159.03490554,102137.90473461,21.13017093
1767497400,102182.97496394,102137.90473461,45.07022933
1767498300,102207.61120981,102137.90473461,69.70647519
1767499200,102233.03534666,102137.90473461,95.13061205
1767500100,102259.39747136,102137.90473461,121.49273674
1767501000,102286.84195187,102137.90473461,148.93721726
1767501900,102199.32094991,102199.32094991,0.0
1767502800,102192.42374837,102194.72204945,-2.29830108
1767503700,102123.6501866,102123.6501866,0.0
1767504600,102116.75809191,102119.05469128,-2.29659936
1767505500,102149.24102578,102119.05469128,30.1863345
1767506400,102183.25877366,102119.05469128,64.20408238
1767507300,102218.9139263,102119.05469128,99.85923503
