ts,symbol,direction,price,hybrid_score,passes_threshold,regime,rq_score,rv_score,trend,carry,expectancy,router
2026-03-19T16:24:32.493224+00:00,SOLUSDT,LONG,87.26,0.412779,True,normal,0.8,0.0,0.5,0.3545,0.4994,0.4676
2026-03-19T16:30:08.816209+00:00,ETHUSDT,LONG,2111.3,0.420599,True,normal,0.8,0.0,0.5,0.355,0.4938,0.5321
2026-03-19T16:30:08.816209+00:00,SOLUSDT,LONG,87.45,0.412695,True,normal,0.8,0.0,0.5,0.3541,0.4994,0.4676
2026-03-19T16:35:41.869579+00:00,ETHUSDT,LONG,2108.72,0.420599,True,normal,0.8,0.0,0.5,0.355,0.4938,0.5321
2026-03-19T16:35:41.869579+00:00,SOLUSDT,LONG,87.43,0.412695,True,normal,0.8,0.0,0.5,0.3541,0.4994,0.4676
2026-03-19T16:41:34.604593+00:00,ETHUSDT,LONG,2111.43,0.420023,True,normal,0.8,0.0,0.5,0.3525,0.4938,0.5321
2026-03-19T16:41:34.604593+00:00,SOLUSDT,LONG,87.54,0.412606,True,normal,0.8,0.0,0.5,0.3537,0.4994,0.4676
2026-03-19T16:52:48.725536+00:00,ETHUSDT,LONG,2108.56,0.420734,True,normal,0.8,0.0,0.5,0.3554,0.4941,0.5321
2026-03-19T16:52:48.725536+00:00,SOLUSDT,LONG,87.45,0.413255,True,normal,0.8,0.0,0.5,0.3566,0.4994,0.4676
2026-03-19T16:58:18.311632+00:00,ETHUSDT,LONG,2114.4,0.420734,True,normal,0.8,0.0,0.5,0.3554,0.4941,0.5321
2026-03-19T16:58:18.311632+00:00,SOLUSDT,LONG,87.57,0.413255,True,normal,0.8,0.0,0.5,0.3566,0.4994,0.4676
2026-03-19T17:04:23.478903+00:00,ETHUSDT,LONG,2111.49,0.420752,True,normal,0.8,0.0,0.5,0.3554,0.4941,0.5321
2026-03-19T17:09:42.271367+00:00,ETHUSDT,LONG,2107.1,0.420752,True,normal,0.8,0.0,0.5,0.3554,0.4941,0.5321
2026-03-19T17:09:42.271367+00:00,SOLUSDT,LONG,87.43,0.412718,True,normal,0.8,0.0,0.5,0.3542,0.4994,0.4676
2026-03-19T17:15:28.019592+00:00,ETHUSDT,LONG,2108.45,0.420364,True,normal,0.8,0.0,0.5,0.3538,0.494,0.5321
2026-03-19T17:15:28.019592+00:00,SOLUSDT,LONG,87.19,0.412869,True,normal,0.8,0.0,0.5,0.3549,0.4994,0.4676
2026-03-19T17:58:58.183745+00:00,BTCUSDT,LONG,69821.6,0.436473,True,normal,0.8,0.0,0.5,0.3762,0.4955,0.6121
2026-03-19T18:15:21.655418+00:00,BTCUSDT,LONG,69826.5,0.43625,True,normal,0.8,0.0,0.5,0.3749,0.4959,0.6121
2026-03-19T19:06:00.838779+00:00,BTCUSDT,LONG,69758.9,0.45283,True,normal,0.8,0.0,0.5,0.434,0.5142,0.6121
2026-03-19T19:11:20.770630+00:00,ETHUSDT,LONG,2141.5,0.460001,True,normal,0.8,0.0,0.5,0.5138,0.5142,0.5321
2026-03-19T19:11:20.770630+00:00,BTCUSDT,LONG,70190.0,0.45283,True,normal,0.8,0.0,0.5,0.434,0.5142,0.6121
2026-03-19T19:11:20.770630+00:00,SOLUSDT,LONG,88.63,0.412519,True,normal,0.8,0.0,0.5,0.3517,0.5014,0.4676
2026-03-19T19:13:15.148051+00:00,ETHUSDT,LONG,2144.12,0.460001,True,normal,0.8,0.0,0.5,0.5138,0.5142,0.5321
2026-03-19T19:13:15.148051+00:00,BTCUSDT,LONG,70322.8,0.45283,True,normal,0.8,0.0,0.5,0.434,0.5142,0.6121
2026-03-19T19:13:15.148051+00:00,SOLUSDT,LONG,88.88,0.412519,True,normal,0.8,0.0,0.5,0.3517,0.5014,0.4676
2026-03-19T19:18:59.927738+00:00,ETHUSDT,LONG,2145.25,0.481554,True,normal,0.8,0.0,0.5,0.6102,0.5135,0.5321
2026-03-19T19:18:59.927738+00:00,BTCUSDT,LONG,70311.7,0.476007,True,normal,0.8,0.0,0.5,0.5376,0.5135,0.6121
2026-03-19T19:18:59.927738+00:00,SOLUSDT,LONG,88.92,0.413416,True,normal,0.8,0.0,0.5,0.3558,0.5013,0.4676
2026-03-19T19:21:02.233730+00:00,ETHUSDT,LONG,2149.22,0.481554,True,normal,0.8,0.0,0.5,0.6102,0.5135,0.5321
2026-03-19T19:21:02.233730+00:00,BTCUSDT,LONG,70434.5,0.476007,True,normal,0.8,0.0,0.5,0.5376,0.5135,0.6121
2026-03-19T19:21:02.233730+00:00,SOLUSDT,LONG,89.01,0.413416,True,normal,0.8,0.0,0.5,0.3558,0.5013,0.4676
2026-03-19T19:25:48.294001+00:00,ETHUSDT,LONG,2152.02,0.481505,True,normal,0.8,0.0,0.5,0.6102,0.5135,0.5317
2026-03-19T19:25:48.294001+00:00,BTCUSDT,LONG,70413.6,0.476007,True,normal,0.8,0.0,0.5,0.5376,0.5135,0.6121
2026-03-19T19:25:48.294001+00:00,SOLUSDT,LONG,88.99,0.413375,True,normal,0.8,0.0,0.5,0.3558,0.5013,0.4673
2026-03-19T19:43:01.194480+00:00,BTCUSDT,LONG,70369.9,0.48423,True,normal,0.8,0.0,0.5,0.5755,0.5117,0.6121
2026-03-19T19:43:01.194480+00:00,ETHUSDT,LONG,2144.93,0.474187,True,normal,0.8,0.0,0.5,0.5791,0.5117,0.5317
2026-03-19T19:43:01.194480+00:00,SOLUSDT,LONG,88.96,0.413128,True,normal,0.8,0.0,0.5,0.3548,0.5011,0.4673
2026-03-19T19:50:27.571085+00:00,BTCUSDT,LONG,70369.8,0.487349,True,normal,0.8,0.0,0.5,0.5904,0.5105,0.6121
2026-03-19T19:50:27.571085+00:00,ETHUSDT,LONG,2143.89,0.473765,True,normal,0.8,0.0,0.5,0.5784,0.5105,0.5314
2026-03-19T19:50:27.571085+00:00,SOLUSDT,LONG,88.8,0.413721,True,normal,0.8,0.0,0.5,0.3576,0.501,0.4673
2026-03-19T19:57:24.243282+00:00,BTCUSDT,LONG,70205.5,0.487349,True,normal,0.8,0.0,0.5,0.5904,0.5105,0.6121
2026-03-19T19:57:24.243282+00:00,ETHUSDT,LONG,2139.95,0.473717,True,normal,0.8,0.0,0.5,0.5784,0.5105,0.531
2026-03-19T19:57:24.243282+00:00,SOLUSDT,LONG,88.74,0.413721,True,normal,0.8,0.0,0.5,0.3576,0.501,0.4673
2026-03-19T20:04:41.004778+00:00,BTCUSDT,LONG,70234.5,0.482675,True,normal,0.8,0.0,0.5,0.5702,0.5097,0.6121
2026-03-19T20:04:41.004778+00:00,ETHUSDT,LONG,2140.53,0.471613,True,normal,0.8,0.0,0.5,0.5699,0.5097,0.5307
2026-03-19T20:04:41.004778+00:00,SOLUSDT,LONG,88.81,0.412958,True,normal,0.8,0.0,0.5,0.3542,0.5009,0.4673
2026-03-19T20:11:28.244904+00:00,BTCUSDT,LONG,70224.5,0.482675,True,normal,0.8,0.0,0.5,0.5702,0.5097,0.6121
2026-03-19T20:11:28.244904+00:00,ETHUSDT,LONG,2140.24,0.471566,True,normal,0.8,0.0,0.5,0.5699,0.5097,0.5303
2026-03-19T20:11:28.244904+00:00,SOLUSDT,LONG,88.72,0.412958,True,normal,0.8,0.0,0.5,0.3542,0.5009,0.4673
2026-03-19T20:18:43.420511+00:00,BTCUSDT,LONG,70276.3,0.483187,True,normal,0.8,0.0,0.5,0.5728,0.5093,0.6121
2026-03-19T20:18:43.420511+00:00,ETHUSDT,LONG,2144.45,0.471683,True,normal,0.8,0.0,0.5,0.5709,0.5093,0.53
2026-03-19T20:18:43.420511+00:00,SOLUSDT,LONG,88.79,0.412829,True,normal,0.8,0.0,0.5,0.3537,0.5009,0.4673
2026-03-19T20:25:24.757923+00:00,BTCUSDT,LONG,70345.4,0.483187,True,normal,0.8,0.0,0.5,0.5728,0.5093,0.6121
2026-03-19T20:25:24.757923+00:00,ETHUSDT,LONG,2141.31,0.471636,True,normal,0.8,0.0,0.5,0.5709,0.5093,0.5296
2026-03-19T20:25:24.757923+00:00,SOLUSDT,LONG,88.84,0.412829,True,normal,0.8,0.0,0.5,0.3537,0.5009,0.4673
2026-03-19T20:32:34.319771+00:00,BTCUSDT,LONG,70350.0,0.490582,True,normal,0.8,0.0,0.5,0.6056,0.5094,0.6121
2026-03-19T20:32:34.319771+00:00,ETHUSDT,LONG,2141.6,0.478464,True,normal,0.8,0.0,0.5,0.6014,0.5094,0.5293
2026-03-19T20:32:34.319771+00:00,SOLUSDT,LONG,88.8,0.413573,True,normal,0.8,0.0,0.5,0.357,0.5009,0.4673
2026-03-19T20:39:11.043547+00:00,BTCUSDT,LONG,70416.3,0.490582,True,normal,0.8,0.0,0.5,0.6056,0.5094,0.6121
2026-03-19T20:39:11.043547+00:00,ETHUSDT,LONG,2144.74,0.478418,True,normal,0.8,0.0,0.5,0.6014,0.5094,0.529
2026-03-19T20:39:11.043547+00:00,SOLUSDT,LONG,88.97,0.413573,True,normal,0.8,0.0,0.5,0.357,0.5009,0.4673
2026-03-19T20:46:07.488400+00:00,BTCUSDT,LONG,70488.4,0.49189,True,normal,0.8,0.0,0.5,0.6115,0.5092,0.6121
2026-03-19T20:46:07.488400+00:00,ETHUSDT,LONG,2146.23,0.477344,True,normal,0.8,0.0,0.5,0.597,0.5092,0.5286
2026-03-19T20:46:07.488400+00:00,SOLUSDT,LONG,88.99,0.413323,True,normal,0.8,0.0,0.5,0.3559,0.5009,0.4673
2026-03-19T20:51:58.644131+00:00,BTCUSDT,LONG,70421.8,0.49189,True,normal,0.8,0.0,0.5,0.6115,0.5092,0.6121
2026-03-19T20:51:58.644131+00:00,ETHUSDT,LONG,2144.6,0.477344,True,normal,0.8,0.0,0.5,0.597,0.5092,0.5286
2026-03-19T20:51:58.644131+00:00,SOLUSDT,LONG,88.94,0.413323,True,normal,0.8,0.0,0.5,0.3559,0.5009,0.4673
2026-03-19T20:58:04.510646+00:00,BTCUSDT,LONG,70410.9,0.491535,True,normal,0.8,0.0,0.5,0.61,0.5092,0.6121
2026-03-19T20:58:04.510646+00:00,ETHUSDT,LONG,2144.59,0.48368,True,normal,0.8,0.0,0.5,0.6251,0.5092,0.5286
2026-03-19T20:58:04.510646+00:00,SOLUSDT,LONG,88.93,0.413255,True,normal,0.8,0.0,0.5,0.3556,0.5009,0.4673
2026-03-19T21:03:51.418623+00:00,BTCUSDT,LONG,70547.1,0.491535,True,normal,0.8,0.0,0.5,0.61,0.5092,0.6121
2026-03-19T21:03:51.418623+00:00,ETHUSDT,LONG,2147.9,0.48368,True,normal,0.8,0.0,0.5,0.6251,0.5092,0.5286
2026-03-19T21:03:51.418623+00:00,SOLUSDT,LONG,88.99,0.413255,True,normal,0.8,0.0,0.5,0.3556,0.5009,0.4673
2026-03-19T21:09:56.199560+00:00,BTCUSDT,LONG,70512.2,0.495286,True,normal,0.8,0.0,0.5,0.6266,0.5093,0.6121
2026-03-19T21:09:56.199560+00:00,ETHUSDT,LONG,2148.87,0.484958,True,normal,0.8,0.0,0.5,0.6308,0.5093,0.5286
2026-03-19T21:09:56.199560+00:00,SOLUSDT,LONG,89.1,0.413285,True,normal,0.8,0.0,0.5,0.3557,0.5009,0.4673
2026-03-19T21:16:27.248038+00:00,BTCUSDT,LONG,70646.5,0.4951,True,normal,0.8,0.0,0.5,0.6266,0.5093,0.6107
2026-03-19T21:16:27.248038+00:00,ETHUSDT,LONG,2151.13,0.484958,True,normal,0.8,0.0,0.5,0.6308,0.5093,0.5286
2026-03-19T21:16:27.248038+00:00,SOLUSDT,LONG,89.15,0.413285,True,normal,0.8,0.0,0.5,0.3557,0.5009,0.4673
2026-03-19T21:23:37.218581+00:00,BTCUSDT,LONG,70539.1,0.5017,True,normal,0.8,0.0,0.5,0.6566,0.5094,0.6093
2026-03-19T21:23:37.218581+00:00,ETHUSDT,LONG,2151.52,0.492704,True,normal,0.8,0.0,0.5,0.6651,0.5094,0.5286
2026-03-19T21:23:37.218581+00:00,SOLUSDT,LONG,89.04,0.42019,True,normal,0.8,0.0,0.5,0.3864,0.5009,0.4673
2026-03-19T21:30:21.238773+00:00,BTCUSDT,LONG,70511.8,0.50152,True,normal,0.8,0.0,0.5,0.6566,0.5094,0.608
