symbol,entry_ts,exit_ts,entry_px,exit_px,qty,gross_pnl,fees,net_pnl,exit_reason
ETHUSDT,1777041900,1777043700,2311.223159,2310.766562,0.06456939,-0.02948219,0.14921953,-0.17870172,signal
BTCUSDT,1777046400,1777047300,77937.97438,77737.6717,0.00191472,-0.38352344,0.14903759,-0.53256103,signal
ETHUSDT,1777044600,1777047300,2314.174044,2315.425164,0.06448542,0.08067899,0.14927081,-0.06859182,signal
SOLUSDT,1777043700,1777047300,85.815737,86.124155,1.738977,0.53633181,0.14949976,0.38683205,signal
BTCUSDT,1777048200,1777049100,77811.93658,77756.666,0.00191781,-0.10599838,0.14917538,-0.25517376,signal
ETHUSDT,1777048200,1777050000,2318.585367,2313.645698,0.06436134,-0.31792371,0.1490683,-0.46699201,signal
SOLUSDT,1777049100,1777051800,86.22586,86.104161,1.73061111,-0.21061364,0.14911812,-0.35973177,signal
ETHUSDT,1777052700,1777053600,2318.585367,2312.556025,0.06435482,-0.38801723,0.14901814,-0.53703538,signal
ETHUSDT,1777054500,1777058100,2314.89426,2318.894123,0.06445396,0.257807,0.149333,0.108474,signal
ETHUSDT,1777063500,1777065300,2323.986987,2321.613307,0.06420248,-0.15239614,0.14912952,-0.30152566,signal
BTCUSDT,1777065300,1777066200,77702.50376,77571.7215,0.0019202,-0.25112852,0.14907904,-0.40020756,signal
SOLUSDT,1777077900,1777079700,86.245866,86.114158,1.72988228,-0.22783934,0.14908128,-0.37692061,signal
ETHUSDT,1777082400,1777083300,2318.945475,2315.10526,0.06433508,-0.24706054,0.14906601,-0.39612655,signal
SOLUSDT,1777099500,1777100400,86.405914,86.254116,1.72654385,-0.2620859,0.14905256,-0.41113846,signal
SOLUSDT,1777103100,1777104000,86.395911,86.324095,1.72667237,-0.1240027,0.14911543,-0.27311813,signal
SOLUSDT,1777122900,1777125600,86.535953,86.504041,1.72383074,-0.05501089,0.14914583,-0.20415672,signal
BTCUSDT,1777134600,1777135500,77400.81328,77207.43082,0.00192724,-0.37269524,0.14898393,-0.52167916,signal
ETHUSDT,1777151700,1777153500,2315.434422,2313.985596,0.06442093,-0.09333472,0.14911578,-0.24245051,signal
SOLUSDT,1777155300,1777158000,86.005794,86.014188,1.73428794,0.01455761,0.14916609,-0.13460848,signal
BTCUSDT,1777165200,1777166100,77571.66452,77450.15798,0.00192283,-0.2336359,0.14903997,-0.38267588,signal
ETHUSDT,1777167900,1777168800,2316.634782,2314.025584,0.06438264,-0.16798704,0.14906706,-0.3170541,signal
SOLUSDT,1777170600,1777172400,86.255869,86.194134,1.72911476,-0.1067469,0.14909292,-0.25583982,signal
SOLUSDT,1777176900,1777179600,86.065812,86.504041,1.73288854,0.75940201,0.14952216,0.60987985,signal
BTCUSDT,1777179600,1777182300,77718.50856,77974.50063,0.00191898,0.49124352,0.14938584,0.34185768,signal
ETHUSDT,1777177800,1777182300,2312.433522,2325.912017,0.06449541,0.86930102,0.14957599,0.71972502,signal
ETHUSDT,1777185900,1777186800,2331.729309,2326.861732,0.06397292,-0.31139311,0.14901183,-0.46040494,signal
ETHUSDT,1777204800,1777205700,2335.960578,2329.380976,0.06385408,-0.42013446,0.14895056,-0.56908502,signal
SOLUSDT,1777208400,1777209300,86.095821,85.9742,1.73239638,-0.21069578,0.14904674,-0.35974252,signal
ETHUSDT,1777216500,1777217400,2347.363998,2344.006587,0.06353747,-0.21332141,0.14903891,-0.36236032,signal
SOLUSDT,1777213800,1777217400,86.355899,86.424065,1.72711643,0.11773062,0.14920556,-0.03147494,signal
